"Country","Sex","Year","Age group","Mean height","Mean height lower 95% uncertainty interval","Mean height upper 95% uncertainty interval","Mean height standard error"
"United States of America","Boys",1985,5,113.9148963,113.0178346,114.8082781,0.454817794
"United States of America","Boys",1985,6,120.300116,119.4824457,121.1357342,0.421057967
"United States of America","Boys",1985,7,126.2472657,125.4398819,127.0725156,0.415008003
"United States of America","Boys",1985,8,131.8786768,131.0662098,132.6989015,0.41596884
"United States of America","Boys",1985,9,137.3216919,136.5041793,138.1375898,0.41732355
"United States of America","Boys",1985,10,142.6888017,141.8498722,143.5034253,0.421077773
"United States of America","Boys",1985,11,148.1696438,147.325077,148.9834398,0.426207645
"United States of America","Boys",1985,12,154.2706286,153.405456,155.1054012,0.434282845
"United States of America","Boys",1985,13,161.188491,160.2929272,162.045213,0.441543578
"United States of America","Boys",1985,14,167.5323806,166.6326426,168.4059177,0.446217915
"United States of America","Boys",1985,15,171.9000382,171.0318767,172.783044,0.446350705
"United States of America","Boys",1985,16,174.3859469,173.4885408,175.273229,0.448161205
"United States of America","Boys",1985,17,175.4790039,174.5807325,176.360521,0.451260433
"United States of America","Boys",1985,18,175.6762965,174.835816,176.507576,0.431737656
"United States of America","Boys",1985,19,175.7306254,174.833688,176.6162823,0.457000573
"United States of America","Boys",1986,5,113.9344047,113.0444391,114.8201781,0.445309845
"United States of America","Boys",1986,6,120.3299004,119.5093683,121.1448314,0.411031048
"United States of America","Boys",1986,7,126.283161,125.5023592,127.0950577,0.405274283
"United States of America","Boys",1986,8,131.9193906,131.126261,132.7206764,0.406168272
"United States of America","Boys",1986,9,137.3609209,136.5529072,138.1476721,0.407642031
"United States of America","Boys",1986,10,142.7350942,141.9321662,143.5340783,0.40789245
"United States of America","Boys",1986,11,148.2335213,147.4050106,149.035604,0.412856175
"United States of America","Boys",1986,12,154.3623184,153.5270833,155.1668289,0.421807531
"United States of America","Boys",1986,13,161.3068791,160.4474714,162.1324722,0.429724301
"United States of America","Boys",1986,14,167.66339,166.7807274,168.5193718,0.435929694
"United States of America","Boys",1986,15,172.0203584,171.1586994,172.884633,0.439117865
"United States of America","Boys",1986,16,174.4935031,173.6266665,175.3748363,0.442497444
"United States of America","Boys",1986,17,175.5647592,174.6920515,176.4315573,0.443701912
"United States of America","Boys",1986,18,175.729837,174.9247126,176.5332313,0.416107857
"United States of America","Boys",1986,19,175.7687993,174.939331,176.5951042,0.421018219
"United States of America","Boys",1987,5,113.9274825,113.0661894,114.78179,0.436010802
"United States of America","Boys",1987,6,120.3494088,119.5531816,121.1396252,0.400247234
"United States of America","Boys",1987,7,126.3129453,125.5497143,127.1075735,0.394735106
"United States of America","Boys",1987,8,131.9552859,131.1779593,132.7404864,0.396289815
"United States of America","Boys",1987,9,137.4016347,136.6216929,138.1789474,0.397891095
"United States of America","Boys",1987,10,142.7743233,141.9876212,143.5484599,0.398210925
"United States of America","Boys",1987,11,148.2798138,147.4870804,149.055804,0.399819674
"United States of America","Boys",1987,12,154.426196,153.6113607,155.213687,0.409115183
"United States of America","Boys",1987,13,161.3985689,160.5788316,162.2028988,0.417914733
"United States of America","Boys",1987,14,167.7817781,166.9333054,168.5962659,0.424475771
"United States of America","Boys",1987,15,172.1513678,171.290393,172.9908348,0.429186815
"United States of America","Boys",1987,16,174.6138232,173.7493139,175.4652349,0.435188329
"United States of America","Boys",1987,17,175.6723154,174.8123304,176.5272873,0.437232977
"United States of America","Boys",1987,18,175.8155923,175.0306415,176.6231992,0.408186283
"United States of America","Boys",1987,19,175.8223398,175.0432696,176.6340432,0.405631343
"United States of America","Boys",1988,5,113.8852832,113.0343118,114.7087912,0.428426099
"United States of America","Boys",1988,6,120.3424866,119.5638296,121.120209,0.39010453
"United States of America","Boys",1988,7,126.3324537,125.5948643,127.0960416,0.383361122
"United States of America","Boys",1988,8,131.9850702,131.2331456,132.7447793,0.385572251
"United States of America","Boys",1988,9,137.43753,136.6679899,138.2016737,0.388029906
"United States of America","Boys",1988,10,142.815037,142.0524313,143.5674132,0.38856056
"United States of America","Boys",1988,11,148.3190428,147.5423376,149.0658574,0.390267754
"United States of America","Boys",1988,12,154.4724885,153.692994,155.2315155,0.396638711
"United States of America","Boys",1988,13,161.4624465,160.6543416,162.2375308,0.405978311
"United States of America","Boys",1988,14,167.873468,167.0543521,168.6615918,0.413121408
"United States of America","Boys",1988,15,172.2697559,171.4478282,173.0739319,0.417957433
"United States of America","Boys",1988,16,174.7448327,173.8964445,175.5751982,0.425469152
"United States of America","Boys",1988,17,175.7926356,174.9488293,176.6365099,0.429163594
"United States of America","Boys",1988,18,175.9231485,175.1482895,176.7161365,0.40131363
"United States of America","Boys",1988,19,175.9080951,175.149728,176.6977781,0.397883291
"United States of America","Boys",1989,5,113.822739,112.9848865,114.6373946,0.41958541
"United States of America","Boys",1989,6,120.3002872,119.5497522,121.0516398,0.381908019
"United States of America","Boys",1989,7,126.3255316,125.5933079,127.0558184,0.372982859
"United States of America","Boys",1989,8,132.0045787,131.2911673,132.7413316,0.373945854
"United States of America","Boys",1989,9,137.4673143,136.7328184,138.2073135,0.37736285
"United States of America","Boys",1989,10,142.8509323,142.1002376,143.5933903,0.37882253
"United States of America","Boys",1989,11,148.3597566,147.6109374,149.0993608,0.380803865
"United States of America","Boys",1989,12,154.5117175,153.7403367,155.2507489,0.387526008
"United States of America","Boys",1989,13,161.508739,160.7267718,162.250755,0.394477584
"United States of America","Boys",1989,14,167.9373455,167.1418854,168.691877,0.401894419
"United States of America","Boys",1989,15,172.3614458,171.5419127,173.1429939,0.40678676
"United States of America","Boys",1989,16,174.8632208,174.0565631,175.6659587,0.414344606
"United States of America","Boys",1989,17,175.923645,175.0940424,176.7320258,0.419180953
"United States of America","Boys",1989,18,176.0434687,175.281178,176.8184358,0.39198399
"United States of America","Boys",1989,19,176.0156513,175.2506672,176.7824824,0.391591988
"United States of America","Boys",1990,5,113.7609143,112.9303306,114.5591616,0.411569638
"United States of America","Boys",1990,6,120.2377431,119.4901053,120.9778972,0.372687679
"United States of America","Boys",1990,7,126.2833322,125.5665237,126.9975663,0.364854359
"United States of America","Boys",1990,8,131.9976565,131.2880274,132.7095293,0.363559451
"United States of America","Boys",1990,9,137.4868228,136.7819769,138.1968368,0.365711476
"United States of America","Boys",1990,10,142.8807167,142.1702577,143.6024039,0.368434567
"United States of America","Boys",1990,11,148.3956519,147.6727987,149.1290058,0.371347078
"United States of America","Boys",1990,12,154.5524313,153.8063941,155.2937301,0.378499161
"United States of America","Boys",1990,13,161.547968,160.7780236,162.291656,0.386102724
"United States of America","Boys",1990,14,167.983638,167.2084986,168.73516,0.391464987
"United States of America","Boys",1990,15,172.4253233,171.6447558,173.1850782,0.396100526
"United States of America","Boys",1990,16,174.9549106,174.1623083,175.7452388,0.403294626
"United States of America","Boys",1990,17,176.0420331,175.2385282,176.8252373,0.40784582
"United States of America","Boys",1990,18,176.1744781,175.4227448,176.918385,0.380586702
"United States of America","Boys",1990,19,176.1359715,175.3977011,176.8809999,0.382138835
"United States of America","Boys",1991,5,113.7176738,112.8966027,114.5154857,0.403305342
"United States of America","Boys",1991,6,120.1759184,119.431469,120.8945929,0.36477684
"United States of America","Boys",1991,7,126.220788,125.5174758,126.9251561,0.356023145
"United States of America","Boys",1991,8,131.9554571,131.2572306,132.647354,0.355772014
"United States of America","Boys",1991,9,137.4799006,136.784578,138.1756998,0.355432439
"United States of America","Boys",1991,10,142.9002251,142.2116313,143.5881837,0.356992846
"United States of America","Boys",1991,11,148.4254362,147.7250204,149.1307399,0.361544296
"United States of America","Boys",1991,12,154.5883266,153.8656153,155.3209292,0.36956559
"United States of America","Boys",1991,13,161.5886818,160.8471266,162.3283237,0.377733359
"United States of America","Boys",1991,14,168.022867,167.2615021,168.7655321,0.384010011
"United States of America","Boys",1991,15,172.4716158,171.7081497,173.2130548,0.386545827
"United States of America","Boys",1991,16,175.0187882,174.2383004,175.7877812,0.393086399
"United States of America","Boys",1991,17,176.133723,175.3481195,176.9084038,0.396938365
"United States of America","Boys",1991,18,176.2928662,175.56418,177.0084699,0.36843337
"United States of America","Boys",1991,19,176.2669809,175.5606524,176.9859573,0.370175586
"United States of America","Boys",1992,5,113.6918446,112.8996537,114.4803564,0.397365794
"United States of America","Boys",1992,6,120.1326779,119.4081003,120.8247145,0.356317826
"United States of America","Boys",1992,7,126.1589634,125.4565793,126.8503627,0.348772303
"United States of America","Boys",1992,8,131.8929129,131.2080785,132.5800505,0.347562783
"United States of America","Boys",1992,9,137.4377012,136.7516164,138.11712,0.348074045
"United States of America","Boys",1992,10,142.8933029,142.2046635,143.5652218,0.346946037
"United States of America","Boys",1992,11,148.4449447,147.7657471,149.1241765,0.350632736
"United States of America","Boys",1992,12,154.6181109,153.9073264,155.3178771,0.36055655
"United States of America","Boys",1992,13,161.6245771,160.9007453,162.3557969,0.369461052
"United States of America","Boys",1992,14,168.0635808,167.3231782,168.7923078,0.376426476
"United States of America","Boys",1992,15,172.5108449,171.7641969,173.2538074,0.380122302
"United States of America","Boys",1992,16,175.0650807,174.3053022,175.8146026,0.384458603
"United States of America","Boys",1992,17,176.1976005,175.4149794,176.9521721,0.387170824
"United States of America","Boys",1992,18,176.3845561,175.6858708,177.0713416,0.357060861
"United States of America","Boys",1992,19,176.385369,175.6967914,177.0798802,0.358252836
"United States of America","Boys",1993,5,113.6882439,112.9145573,114.4636358,0.391907257
"United States of America","Boys",1993,6,120.1068487,119.4064564,120.7836952,0.349865154
"United States of America","Boys",1993,7,126.1157229,125.4274442,126.7767819,0.340824705
"United States of America","Boys",1993,8,131.8310883,131.1456014,132.5030863,0.341004471
"United States of America","Boys",1993,9,137.375157,136.7092425,138.0464088,0.340476171
"United States of America","Boys",1993,10,142.8511035,142.1755684,143.5067091,0.340019271
"United States of America","Boys",1993,11,148.4380225,147.7671782,149.0945889,0.341043473
"United States of America","Boys",1993,12,154.6376194,153.9494391,155.3118718,0.350334863
"United States of America","Boys",1993,13,161.6543614,160.9476152,162.3468936,0.361151353
"United States of America","Boys",1993,14,168.0994761,167.3720829,168.8168152,0.368974098
"United States of America","Boys",1993,15,172.5515586,171.809587,173.2805983,0.373391784
"United States of America","Boys",1993,16,175.1043097,174.3574071,175.8488436,0.379432939
"United States of America","Boys",1993,17,176.243893,175.4729256,176.9822663,0.379709182
"United States of America","Boys",1993,18,176.4484336,175.7650935,177.1027578,0.3473753
"United States of America","Boys",1993,19,176.4770589,175.810214,177.1464003,0.347052524
"United States of America","Boys",1994,5,113.6972166,112.9240622,114.4633206,0.387849636
"United States of America","Boys",1994,6,120.103248,119.4167756,120.7762756,0.344189206
"United States of America","Boys",1994,7,126.0898936,125.4254887,126.7381289,0.334363825
"United States of America","Boys",1994,8,131.7878478,131.113363,132.4420258,0.33368789
"United States of America","Boys",1994,9,137.3133324,136.6458367,137.9752753,0.334438828
"United States of America","Boys",1994,10,142.7885594,142.1313125,143.4364386,0.332900576
"United States of America","Boys",1994,11,148.3958231,147.7408989,149.0371899,0.334561736
"United States of America","Boys",1994,12,154.6306972,153.9596515,155.2899342,0.341368376
"United States of America","Boys",1994,13,161.6738699,160.9761632,162.3491514,0.351389
"United States of America","Boys",1994,14,168.1292605,167.4164341,168.8234678,0.361331432
"United States of America","Boys",1994,15,172.5874539,171.8604456,173.2929623,0.366963412
"United States of America","Boys",1994,16,175.1450235,174.3970444,175.8744596,0.373787631
"United States of America","Boys",1994,17,176.2831221,175.524858,177.0258661,0.376325827
"United States of America","Boys",1994,18,176.4947261,175.8195286,177.1711336,0.340599972
"United States of America","Boys",1994,19,176.5409364,175.890638,177.203885,0.337760717
"United States of America","Boys",1995,5,113.7082363,112.9638442,114.4783644,0.383910321
"United States of America","Boys",1995,6,120.1122207,119.4357971,120.7811722,0.338924847
"United States of America","Boys",1995,7,126.0862929,125.4374843,126.7207028,0.328724425
"United States of America","Boys",1995,8,131.7620186,131.1164562,132.3929916,0.327361636
"United States of America","Boys",1995,9,137.2700919,136.6146608,137.9204165,0.327601537
"United States of America","Boys",1995,10,142.7267347,142.0788593,143.3772052,0.327126233
"United States of America","Boys",1995,11,148.3332789,147.687175,148.97682,0.327790577
"United States of America","Boys",1995,12,154.5884978,153.9307705,155.2296994,0.335377646
"United States of America","Boys",1995,13,161.6669477,160.9841248,162.3221858,0.342885544
"United States of America","Boys",1995,14,168.1487689,167.4573157,168.8240763,0.35191152
"United States of America","Boys",1995,15,172.6172383,171.8975245,173.3019714,0.360020958
"United States of America","Boys",1995,16,175.1809188,174.4406248,175.8885093,0.368634275
"United States of America","Boys",1995,17,176.3238358,175.5780035,177.0583465,0.371983273
"United States of America","Boys",1995,18,176.5339551,175.8556555,177.2002056,0.33795126
"United States of America","Boys",1995,19,176.5872289,175.9557001,177.2612272,0.330910086
"United States of America","Boys",1996,5,113.7135437,112.9766211,114.4795026,0.379837709
"United States of America","Boys",1996,6,120.1232404,119.4636913,120.7823838,0.333674997
"United States of America","Boys",1996,7,126.0952656,125.4464437,126.7242312,0.322863925
"United States of America","Boys",1996,8,131.7584178,131.1194525,132.3783146,0.321705478
"United States of America","Boys",1996,9,137.2442626,136.6163399,137.8746075,0.321399015
"United States of America","Boys",1996,10,142.6834942,142.0408891,143.3237698,0.320470225
"United States of America","Boys",1996,11,148.2714543,147.6325355,148.9120092,0.322060221
"United States of America","Boys",1996,12,154.5259536,153.8829373,155.1702456,0.328928136
"United States of America","Boys",1996,13,161.6247483,160.9610854,162.273697,0.337279838
"United States of America","Boys",1996,14,168.1418467,167.4512719,168.8055142,0.343567311
"United States of America","Boys",1996,15,172.6367467,171.9405364,173.3096159,0.351001528
