,fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
0,48001,US,TX,Anderson county,county,,iso1:us#iso2:us-tx#fips:48001,,57735,0.0359,other,2.5980774227071963,,0.7039968111589999,0.7582620537610002,0.09070294777777778,,0.528571429,1,1,1,4,0,0,0,5027,113,,,,226.0,38.0,1,0.45,10.0,5.0,0,0.58,0,,7046,4210,2021-04-05,https://covidactnow.org/us/texas-tx/county/anderson_county,0.12204035680263273,0.07291937299731532,0,10438
1,48003,US,TX,Andrews County,county,,iso1:us#iso2:us-tx#fips:48003,,18705,0.0208,other,0.0,,0.8307014568690001,0.869143720701,0.0,,,0,0,0,4,0,0,4,1739,47,,,,34.0,18.0,0,0.18,1.0,,0,,0,,5296,4050,2021-04-05,https://covidactnow.org/us/texas-tx/county/andrews_county,0.2831328521785619,0.2165196471531676,0,9242
2,48005,US,TX,Angelina County,county,,iso1:us#iso2:us-tx#fips:48005,,86715,0.0565,other,4.448068796797392,,0.8045525388339999,0.4818998380160001,0.17969888322252184,,1.0,1,1,1,4,0,0,3,8213,272,,,,465.0,84.0,7,0.5,18.0,18.0,5,0.5,0,,20273,11227,2021-04-05,https://covidactnow.org/us/texas-tx/county/angelina_county,0.23378884852678314,0.1294701032116704,0,30639
3,48007,US,TX,Aransas County,county,,iso1:us#iso2:us-tx#fips:48007,,23510,0.1425,other,12.760527435133984,,1.05552131451,0.8488000230599999,,,,2,2,2,4,1,4,4,1210,37,,,,,,3,,,,1,,1,,8052,4903,2021-04-05,https://covidactnow.org/us/texas-tx/county/aransas_county,0.34249255635899617,0.20854955338153974,0,12680
4,48009,US,TX,Archer County,county,,iso1:us#iso2:us-tx#fips:48009,,8553,0.025,other,5.0107731622989435,,0.862885820335,1.279601362105,,,,1,0,1,4,0,4,4,793,12,,,,,,0,,,,0,,0,,2434,1703,2021-04-05,https://covidactnow.org/us/texas-tx/county/archer_county,0.2845785104641646,0.19911142289255232,0,3980
5,48011,US,TX,Armstrong County,county,,iso1:us#iso2:us-tx#fips:48011,,1887,,other,22.71178741766977,,,,,,,2,4,2,4,4,4,4,158,6,,,,,,0,,,,0,,0,,534,356,2021-04-05,https://covidactnow.org/us/texas-tx/county/armstrong_county,0.2829888712241653,0.18865924748277693,0,872
6,48013,US,TX,Atascosa County,county,,iso1:us#iso2:us-tx#fips:48013,,51153,0.0241,other,6.1440328873324,,0.703658411041,0.6328283511289999,0.16363636412231405,,0.4166666666666667,1,0,1,4,0,0,0,5064,147,,,,67.0,13.0,3,0.21,6.0,2.0,2,0.21,0,,10187,5498,2021-04-05,https://covidactnow.org/us/texas-tx/county/atascosa_county,0.1991476550739937,0.1074814771372158,0,15183
7,48015,US,TX,Austin County,county,,iso1:us#iso2:us-tx#fips:48015,,30032,0.1005,other,19.503006317071318,,0.8144023869779999,0.6671183295420002,0.46113306982872204,,,2,2,2,4,0,0,4,2047,34,,,,32.0,3.0,0,0.07,4.0,4.0,1,,4,,10855,5173,2021-04-05,https://covidactnow.org/us/texas-tx/county/austin_county,0.3614477890250399,0.17224960042621207,0,15310
8,48017,US,TX,Bailey County,county,,iso1:us#iso2:us-tx#fips:48017,,7000,0.0222,other,4.761904761904762,,0.8659194714759999,1.240987278554,,,,1,0,1,4,0,4,4,800,19,,,,25.0,0.0,1,0.09,0.0,,0,,0,,1959,1565,2021-04-05,https://covidactnow.org/us/texas-tx/county/bailey_county,0.2798571428571429,0.2235714285714286,0,3404
9,48019,US,TX,Bandera County,county,,iso1:us#iso2:us-tx#fips:48019,,23112,0.0222,other,4.326756663205262,,0.851244191878,0.862696387972,,,,1,0,1,4,0,4,4,1291,27,,,,,,2,,,,1,,0,,5848,3058,2021-04-05,https://covidactnow.org/us/texas-tx/county/bandera_county,0.2530287296642437,0.1323122187608169,0,8537
10,48021,US,TX,Bastrop county,county,,iso1:us#iso2:us-tx#fips:48021,,88723,0.0803,other,18.355684868314057,,0.966473874549,0.4310808634610001,inf,,,2,1,2,4,1,4,4,8891,91,,,,8.0,4.0,6,0.19,0.0,,2,,0,,18330,10217,2021-04-05,https://covidactnow.org/us/texas-tx/county/bastrop_county,0.2065980636362612,0.1151561601839433,0,27878
11,48023,US,TX,Baylor County,county,,iso1:us#iso2:us-tx#fips:48023,,3509,,other,4.071163945772096,,,,,,,1,4,1,4,4,4,4,296,12,,,,27.0,4.0,1,0.19,0.0,,0,,0,,1220,880,2021-04-05,https://covidactnow.org/us/texas-tx/county/baylor_county,0.34767740096893696,0.2507836990595611,0,2081
12,48025,US,TX,Bee County,county,,iso1:us#iso2:us-tx#fips:48025,,32565,0.0313,other,0.0,,0.571686169328,0.8876656553420001,0.10429703786105182,,0.3333333333333333,0,1,0,4,0,0,0,3465,69,,,,69.0,12.0,1,0.35,9.0,3.0,0,0.27,0,,8359,6640,2021-04-05,https://covidactnow.org/us/texas-tx/county/bee_county,0.256686626746507,0.203899892522647,0,14850
13,48027,US,TX,Bell County,county,,iso1:us#iso2:us-tx#fips:48027,,362924,0.0445,other,7.557662603898178,,0.961135751952,0.29466233165800004,0.17135619734660493,,0.85,1,1,1,4,1,0,2,21629,410,,,,1191.0,45.0,4,0.64,10.0,8.0,3,0.54,0,,55970,36231,2021-04-05,https://covidactnow.org/us/texas-tx/county/bell_county,0.15421961622819105,0.09983081857358564,0,88399
